Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
25	454.9303710460663	1000	27000	-68.48507492557637	-74.04519817625942	2196	27000
26	472.3718774318695	1000	28000	-68.48507492557637	-74.21710774251396	2280	28000
27	489.7784004211426	1000	29000	-68.48507492557637	-74.3942437676873	2362	29000
28	507.17718744277954	1000	30000	-68.48507492557637	-74.28649985868518	2445	30000
29	524.5425560474396	1000	31000	-68.48507492557637	-74.40114167245994	2528	31000
30	541.9265899658203	1000	32000	-68.48507492557637	-73.91348278809322	2611	32000
31	559.3161814212799	1000	33000	-68.48507492557637	-74.49087605060683	2694	33000
32	576.7048046588898	1000	34000	-68.48507492557637	-73.77521426889352	2777	34000
33	594.0785939693451	1000	35000	-68.48507492557637	-73.42627903916569	2860	35000
34	611.483416557312	1000	36000	-68.48507492557637	-73.60809728065428	2943	36000
35	628.9723596572876	1000	37000	-68.48507492557637	-74.30952927843875	3026	37000
36	646.3713793754578	1000	38000	-68.48507492557637	-74.1485737169149	3109	38000
37	663.7853906154633	1000	39000	-68.48507492557637	-74.05462078910872	3192	39000
38	681.2073850631714	1000	40000	-68.48507492557637	-74.01532061513448	3275	40000
39	698.6323902606964	1000	41000	-68.48507492557637	-73.80541461178113	3359	41000
40	716.0264136791229	1000	42000	-68.48507492557637	-80.13857146011014	3442	42000
41	733.4164524078369	1000	43000	-68.48507492557637	-74.46749077719966	3525	43000
42	750.8344507217407	1000	44000	-68.48507492557637	-74.11134696317632	3608	44000
43	768.3374443054199	1000	45000	-68.48507492557637	-73.84252039020728	3691	45000
44	785.7444639205933	1000	46000	-68.48507492557637	-74.35063221001255	3774	46000
45	803.146491765976	1000	47000	-68.48507492557637	-74.48643448392802	3857	47000
46	820.5435016155243	1000	48000	-68.48507492557637	-74.6119110493081	3940	48000
47	837.9564185142517	1000	49000	-68.48507492557637	-74.55847700794894	4023	49000
48	855.3584370613098	1000	50000	-68.48507492557637	-73.93739359920619	4106	50000
49	872.7950141429901	1000	51000	-68.48507492557637	-74.50787043367228	4189	51000
50	890.3342287540436	1000	52000	-68.48507492557637	-74.04317276438027	4272	52000
51	907.7402029037476	1000	53000	-68.48507492557637	-74.29388707466804	4355	53000
52	925.1609697341919	1000	54000	-68.2043099754192	-73.48089539435766	4438	54000
53	942.5242838859558	1000	55000	-68.2043099754192	-74.59291178951327	4521	55000
54	959.9860682487488	1000	56000	-68.2043099754192	-74.63040347855605	4604	56000
55	977.4440553188324	1000	57000	-68.2043099754192	-74.59372471892979	4687	57000
56	994.8460748195648	1000	58000	-68.2043099754192	-74.61955823856695	4770	58000
57	1012.2610721588135	1000	59000	-68.2043099754192	-74.42704416812839	4853	59000
58	1029.6720986366272	1000	60000	-68.2043099754192	-74.07573757584572	4936	60000
59	1047.0731189250946	1000	61000	-68.2043099754192	-74.12297800000856	5019	61000
60	1064.478134393692	1000	62000	-68.2043099754192	-74.3004637735982	5102	62000
61	1081.8761532306671	1000	63000	-68.2043099754192	-74.54060407596836	5185	63000
62	1099.3890492916107	1000	64000	-68.2043099754192	-74.58081870786324	5268	64000
63	1116.8080487251282	1000	65000	-68.2043099754192	-74.28344949770762	5352	65000
64	1134.2140743732452	1000	66000	-68.2043099754192	-74.47939763507523	5435	66000
65	1151.6280884742737	1000	67000	-68.2043099754192	-74.37673954196572	5518	67000
66	1169.0400893688202	1000	68000	-68.2043099754192	-74.29801145452333	5601	68000
67	1186.482085943222	1000	69000	-68.2043099754192	-74.06967017168732	5684	69000
68	1203.871110200882	1000	70000	-68.2043099754192	-74.71699454390875	5767	70000
69	1221.2811241149902	1000	71000	-68.2043099754192	-74.69578139223587	5850	71000
70	1238.7101376056671	1000	72000	-68.2043099754192	-74.84550463275306	5933	72000
71	1256.1191420555115	1000	73000	-68.2043099754192	-74.06930670942447	6016	73000
72	1273.54514670372	1000	74000	-68.2043099754192	-73.89207377655643	6099	74000
